Sample #,WS,Date,Side,Watershed,Date,Dipteran,Terrestrial,Caddisfly,Mayfly,Stonefly,Other,Dipteran,Terr,Caddisfly,Other
ST190324,,5/28/2019,B,1,5/28/2019,5,,,,,,66,,,
ST190325,,5/28/2019,A,1,5/28/2019,7,,,,3,,280,,,7
ST190325,,5/28/2019,B,1,5/28/2019,12,,,,,,145,,,8
ST190881,,9/3/2019,A,1,9/3/2019,1,2,,,,,10,1,,
ST190881,,9/3/2019,B,1,9/3/2019,,4,,,,,8,3,,
ST190882,,9/3/2019,A,1,9/3/2019,,2,,,,,8,2,,
ST190882,,9/3/2019,B,1,9/3/2019,2,4,,,,1,4,2,,1
ST190883,,9/3/2019,A,1,9/3/2019,,3,,,1,1,16,1,,
ST190883,,9/3/2019,B,1,9/3/2019,,4,,,,1,6,1,,
ST190884,,9/3/2019,A,1,9/3/2019,,4,,,,1,5,5,,
ST190884,,9/3/2019,B,1,9/3/2019,,1,,,,1,7,3,,1
ST190885,,9/3/2019,A,1,9/3/2019,,,,,,1,10,4,,
ST190885,,9/3/2019,B,1,9/3/2019,,,,,,1,9,4,,
ST190921,,9/9/2019,A,1,9/9/2019,,1,,,,,5,1,,
ST190921,,9/9/2019,B,1,9/9/2019,,,,,,1,8,,,
ST190922,,9/9/2019,A,1,9/9/2019,,1,,,,,3,1,,
ST190922,,9/9/2019,B,1,9/9/2019,,,,,,,4,1,,
ST190923,,9/9/2019,A,1,9/9/2019,,,,,,,10,,,
ST190923,,9/9/2019,B,1,9/9/2019,1,1,,,,,6,3,,
ST190924,,9/9/2019,A,1,9/9/2019,,,,,,,17,1,1,
ST190924,,9/9/2019,B,1,9/9/2019,,1,,,,1,4,3,,
ST190925,,9/9/2019,A,1,9/9/2019,,1,1,,,,6,,,
ST190925,,9/9/2019,B,1,9/9/2019,,,1,,,,12,1,,
ST190961,,9/16/2019,A,1,9/16/2019,,,,,,1,6,1,,1
ST190961,,9/16/2019,B,1,9/16/2019,2,1,,,,,2,1,,
ST190962,,9/16/2019,A,1,9/16/2019,1,,,,1,,7,2,,
ST190962,,9/16/2019,B,1,9/16/2019,2,1,,,,,9,,,
ST190963,,9/16/2019,A,1,9/16/2019,1,1,,,,,4,1,,
ST190963,,9/16/2019,B,1,9/16/2019,,,,,,1,5,4,,
ST190964,,9/16/2019,A,1,9/16/2019,,1,,,1,1,8,7,,2
ST190964,,9/16/2019,B,1,9/16/2019,,,1,,,2,6,3,,
ST190965,,9/16/2019,A,1,9/16/2019,,,,,,1,11,1,,
ST190965,,9/16/2019,B,1,9/16/2019,1,,1,,,,6,2,,
ST191001,,9/23/2019,A,1,9/23/2019,1,1,,,,2,6,,,1
ST191001,,9/23/2019,B,1,9/23/2019,3,,,,,,5,,,1
ST191002,,9/23/2019,A,1,9/23/2019,1,2,,,,,4,,,
ST191002,,9/23/2019,B,1,9/23/2019,,2,,,,,9,1,,
ST191003,,9/23/2019,A,1,9/23/2019,,,,,,,7,1,,2
ST191003,,9/23/2019,B,1,9/23/2019,,1,,,,1,7,1,,
ST191004,,9/23/2019,A,1,9/23/2019,4,,1,,,1,4,5,,
ST191004,,9/23/2019,B,1,9/23/2019,,,,,,1,8,2,,1
ST191005,,9/23/2019,A,1,9/23/2019,,2,,,,,7,1,,
ST191015,,9/23/2019,B,1,9/23/2019,,1,,,,,7,1,,
ST191041,,9/30/2019,A,1,9/30/2019,,,,,,,7,1,,
ST191041,,9/30/2019,B,1,9/30/2019,1,,,,,,6,1,,
ST191042,,9/30/2019,A,1,9/30/2019,1,,,,,,3,,,
ST191042,,9/30/2019,B,1,9/30/2019,,,,,,,3,,,
ST191043,,9/30/2019,A,1,9/30/2019,2,,,,,,7,,,
ST191043,,9/30/2019,B,1,9/30/2019,,,,,,,7,1,,
ST191044,,9/30/2019,A,1,9/30/2019,,,,,,,4,1,,
ST191044,,9/30/2019,B,1,9/30/2019,,1,,,,,3,2,,
ST191045,,9/30/2019,A,1,9/30/2019,,,,,,1,3,2,,3
ST191045,,9/30/2019,B,1,9/30/2019,1,1,,,,1,12,2,,
ST191081,,10/7/2019,A,1,10/7/2019,1,1,,,,1,13,3,,
ST191081,,10/7/2019,B,1,10/7/2019,,,,,,,1,1,,2
ST191082,,10/7/2019,A,1,10/7/2019,4,2,,,,,6,,,
ST191082,,10/7/2019,B,1,10/7/2019,2,1,,,,,13,1,,1
ST191083,,10/7/2019,A,1,10/7/2019,3,,,,,,3,2,,1
ST191083,,10/7/2019,B,1,10/7/2019,1,2,,,,1,4,,,
ST191084,,10/7/2019,A,1,10/7/2019,5,3,,,,,12,2,,
ST191084,,10/7/2019,B,1,10/7/2019,1,1,,,,,8,,,
ST191085,,10/7/2019,A,1,10/7/2019,1,,,,,,9,3,,
ST191085,,10/7/2019,B,1,10/7/2019,2,,,,1,,11,2,,
ST191121,,10/15/2019,A,1,10/15/2019,1,,,,,1,11,3,,
ST191121,,10/15/2019,B,1,10/15/2019,1,,,,,,6,4,,
ST191122,,10/15/2019,A,1,10/15/2019,2,,,,,1,14,3,,
ST191122,,10/15/2019,B,1,10/15/2019,,1,,,,4,17,3,,
ST191123,,10/15/2019,A,1,10/15/2019,2,3,,,,,9,2,,
ST191123,,10/15/2019,B,1,10/15/2019,,,,,,1,13,6,,3
ST191124,,10/15/2019,A,1,10/15/2019,,,,,,,9,8,,
ST191124,,10/15/2019,B,1,10/15/2019,4,1,,,,,10,7,,1
ST191125,,10/15/2019,A,1,10/15/2019,1,2,,,,,12,4,,
ST191125,,10/15/2019,B,1,10/15/2019,,2,,,,3,6,1,,
ST191161,,10/21/2019,A,1,10/21/2019,24,,,,,,25,5,,
ST191161,,10/21/2019,B,1,10/21/2019,5,1,,,,,7,,,
ST191162,,10/21/2019,A,1,10/21/2019,4,1,,,,,7,,,
ST191162,,10/21/2019,B,1,10/21/2019,3,,,,,,7,2,,
ST191163,,10/21/2019,A,1,10/21/2019,5,,,,,,8,1,,
ST191163,,10/21/2019,B,1,10/21/2019,17,,,,,,30,1,,
ST191164,,10/21/2019,A,1,10/21/2019,13,2,1,,,,11,3,,
ST191164,,10/21/2019,B,1,10/21/2019,4,,,,,,8,2,,2
ST191165,,10/21/2019,A,1,10/21/2019,6,,,,,,5,6,,
ST191165,,10/21/2019,B,1,10/21/2019,16,1,,,,,15,3,,
ST191201,,10/28/2019,A,1,10/28/2019,3,1,,,,1,28,5,,1
ST191201,,10/28/2019,B,1,10/28/2019,5,,,,,,10,4,,
ST191202,,10/28/2019,A,1,10/28/2019,12,,,,,,30,1,,
ST191202,,10/28/2019,B,1,10/28/2019,3,6,,,,,24,6,,
ST191203,,10/28/2019,A,1,10/28/2019,14,1,,,1,,37,12,,1
ST191203,,10/28/2019,B,1,10/28/2019,11,1,,,,,46,10,,3
ST191204,,10/28/2019,A,1,10/28/2019,8,,,,1,1,31,9,,2
ST191204,,10/28/2019,B,1,10/28/2019,5,,,,,1,27,2,,
ST191205,,10/28/2019,A,1,10/28/2019,3,1,,,,1,14,2,,
ST191205,,10/28/2019,B,1,10/28/2019,14,,,,,,30,9,,1
ST191241,,11/4/2019,A,1,11/4/2019,4,1,,,,,40,6,,
ST191241,,11/4/2019,B,1,11/4/2019,1,2,,,,,12,3,,
ST191242,,11/4/2019,A,1,11/4/2019,,,,,,,16,,,2
ST191242,,11/4/2019,B,1,11/4/2019,2,1,,,,1,23,,,
ST191243,,11/4/2019,A,1,11/4/2019,3,,,,,,21,3,,
ST191243,,11/4/2019,B,1,11/4/2019,4,,,,,,12,4,,
ST191244,,11/4/2019,A,1,11/4/2019,5,,,,,,29,4,,1
ST191244,,11/4/2019,B,1,11/4/2019,1,,,,,,13,2,,1
ST191245,,11/4/2019,A,1,11/4/2019,2,,,,,,5,2,,
ST191245,,11/4/2019,B,1,11/4/2019,,,,,,1,11,,,1
ST191281,,11/11/2019,A,1,11/11/2019,,,,,,,7,,,
ST191281,,11/11/2019,B,1,11/11/2019,,,,,,,3,,,1
ST191282,,11/11/2019,A,1,11/11/2019,,,,,,,7,1,,
ST191282,,11/11/2019,B,1,11/11/2019,1,,,,,,5,,,
ST191283,,11/11/2019,A,1,11/11/2019,,,,,,,10,,,
ST191283,,11/11/2019,B,1,11/11/2019,,,,,,1,6,,,
ST191284,,11/11/2019,A,1,11/11/2019,,,,,,,6,,,
ST191284,,11/11/2019,B,1,11/11/2019,,,,,,,1,,,
ST191285,,11/11/2019,A,1,11/11/2019,,,,,,,4,,,
ST191285,,11/11/2019,B,1,11/11/2019,1,,,,,,7,,,
ST191321,,11/18/2019,A,1,11/18/2019,,,,,,,2,,,
ST191321,,11/18/2019,B,1,11/18/2019,,,,,,,,,,
ST191361,,11/25/2019,A,1,11/25/2019,1,,,,,,2,,,
ST191361,,11/25/2019,B,1,11/25/2019,,,,,,,3,,,
ST191401,,11/25/2019,A,1,12/3/2019,1,,,,,,,,,
ST191401,,11/25/2019,B,1,12/3/2019,1,,,,,,,,,
