Sample ID,y-m-d,Side,Watershed,m/d/y,Dipteran,Terrestrial,Caddisfly,Mayfly,Stonefly,Other,Dipteran,Terrestrial,Caddisfly,Other,
1,9/10/2018,,2,9/10/2018,,1,,,,,4,,,9,
2,9/10/2018,,2,9/10/2018,,,,,,,3,1,,,
3,9/10/2018,,2,9/10/2018,,,,,,,9,,,5,
4,9/10/2018,,2,9/10/2018,1,,,,,,2,,,,
5,9/10/2018,,2,9/10/2018,,1,,,1,,,,,,
6,9/10/2018,,2,9/10/2018,1,1,,,,,7,,,3,
7,9/10/2018,,2,9/10/2018,1,,,,,,14,1,,,
8,9/10/2018,,2,9/10/2018,1,,,,1,2,6,2,,,
9,9/10/2018,,2,9/10/2018,1,,,,,,6,1,,6,
10,9/10/2018,,2,9/10/2018,,1,,,,,4,2,,7,
1,9/4/2018,,2,9/4/2018,2,1,,,,3,2,3,,5,
2,9/4/2018,,2,9/4/2018,2,3,,,,3,6,1,,3,
3,9/4/2018,,2,9/4/2018,5,3,,,,,16,1,,10,
4,9/4/2018,,2,9/4/2018,2,2,,,1,1,10,2,,4,
5,9/4/2018,,2,9/4/2018,,,,,,1,4,3,,,
6,9/4/2018,,2,9/4/2018,2,1,,,,1,8,6,,4,
7,9/4/2018,,2,9/4/2018,,,,,,,2,5,,,
8,9/4/2018,,2,9/4/2018,2,,,,,1,3,,,,
9,9/4/2018,,2,9/4/2018,2,,,,,,6,4,,6,
10,9/4/2018,,2,9/4/2018,1,2,,,,1,9,3,,,
1,8/27/2018,,2,8/27/2018,,,,,,,,,,,
2,8/27/2018,,2,8/27/2018,,,,,,,,,,,
3,8/27/2018,,2,8/27/2018,,,,,,,,,,,
4,8/27/2018,,2,8/27/2018,,,,,,,,,,,
5,8/27/2018,,2,8/27/2018,,,,,,,,,,,
6,8/27/2018,,2,8/27/2018,,,,,,,,,,,
7,8/27/2018,,2,8/27/2018,,,,,,,,,,,
8,8/27/2018,,2,8/27/2018,,,,,,,,,,,
9,8/27/2018,,2,8/27/2018,,,,,,,,,,,
10,8/27/2018,,2,8/27/2018,,,,,,,,,,,
1,8/20/2018,,2,8/20/2018,3,1,,,,1,16,,,4,
2,8/20/2018,,2,8/20/2018,,2,,,4,1,18,4,,7,
3,8/20/2018,,2,8/20/2018,1,1,1,,4,2,18,2,,3,
4,8/20/2018,,2,8/20/2018,1,,,,4,1,16,,,8,
5,8/20/2018,,2,8/20/2018,2,1,,,2,,23,2,,2,
6,8/20/2018,,2,8/20/2018,1,,,,1,1,18,1,,6,
7,8/20/2018,,2,8/20/2018,,,,,,,12,3,,,
8,8/20/2018,,2,8/20/2018,2,,,,2,2,14,1,,4,
9,8/20/2018,,2,8/20/2018,1,,,,2,,10,1,,9,
10,8/20/2018,,2,8/20/2018,2,1,,,,2,18,3,,4,
1,8/13/2018,,2,8/13/2018,2,1,,,2,2,21,,,7,
2,8/13/2018,,2,8/13/2018,4,,,,,2,32,,,19,
3,8/13/2018,,2,8/13/2018,1,2,,,2,2,5,2,,10,
4,8/13/2018,,2,8/13/2018,,,,,4,1,19,1,,,
5,8/13/2018,,2,8/13/2018,4,,,,4,9,20,,,5,
6,8/13/2018,,2,8/13/2018,,,,,4,3,21,,,8,
7,8/13/2018,,2,8/13/2018,,,,,,3,12,,,4,
8,8/13/2018,,2,8/13/2018,1,,,,3,5,28,,,4,
9,8/13/2018,,2,8/13/2018,,,,,,1,14,,,7,
10,8/13/2018,,2,8/13/2018,4,3,,,,4,26,,,5,
1,8/6/2018,,2,8/6/2018,1,,,,,,2,,,,
2,8/6/2018,,2,8/6/2018,1,2,,,,,5,4,,9,
3,8/6/2018,,2,8/6/2018,,1,,,1,,5,2,,4,
4,8/6/2018,,2,8/6/2018,3,,,,2,3,13,,,10,
5,8/6/2018,,2,8/6/2018,1,,,,2,1,7,3,,5,
6,8/6/2018,,2,8/6/2018,3,1,,,5,1,11,,,3,
1,8/6/2018,,2,8/6/2018,,,,,,,,,,,
2,8/6/2018,,2,8/6/2018,,,,,,,,,,,
3,8/6/2018,,2,8/6/2018,,,,,,,,,,,
4,8/6/2018,,2,8/6/2018,,,,,,,,,,,
5,8/6/2018,,2,8/6/2018,,,,,,,,,,,
6,8/6/2018,,2,8/6/2018,,,,,,,,,,,
7,8/6/2018,,2,8/6/2018,3,1,,,2,2,11,1,,5,
8,8/6/2018,,2,8/6/2018,1,,,,3,9,24,,,9,
9,8/6/2018,,2,8/6/2018,4,,,,,3,27,,,15,
10,8/6/2018,,2,8/6/2018,1,,,,,1,20,,,4,
1,7/30/2018,,2,7/30/2018,,,,,,,,,,,
2,7/30/2018,,2,7/30/2018,,,,,,,,,,,
3,7/30/2018,,2,7/30/2018,,,,,,,,,,,
4,7/30/2018,,2,7/30/2018,,,,,,,,,,,
5,7/30/2018,,2,7/30/2018,,,,,,,,,,,
6,7/30/2018,,2,7/30/2018,,,,,,,,,,,
7,7/30/2018,,2,7/30/2018,,,,,,,,,,,
8,7/30/2018,,2,7/30/2018,,,,,,,,,,,
9,7/30/2018,,2,7/30/2018,,,,,,,,,,,
10,7/30/2018,,2,7/30/2018,,,,,,,,,,,
1,7/23/2018,,2,7/23/2018,,,,,,,,,,,
2,7/23/2018,,2,7/23/2018,,,,,,,,,,,
3,7/23/2018,,2,7/23/2018,,,,,,,,,,,
4,7/23/2018,,2,7/23/2018,,,,,,,,,,,
5,7/23/2018,,2,7/23/2018,,,,,,,,,,,
6,7/23/2018,,2,7/23/2018,,,,,,,,,,,
7,7/23/2018,,2,7/23/2018,,,,,,,,,,,
8,7/23/2018,,2,7/23/2018,,,,,,,,,,,
9,7/23/2018,,2,7/23/2018,,,,,,,,,,,
10,7/23/2018,,2,7/23/2018,,,,,,,,,,,
1,7/16/2018,,2,7/16/2018,,,,,,,,,,,
2,7/16/2018,,2,7/16/2018,,1,,,,,3,,,4,
3,7/16/2018,,2,7/16/2018,1,,,,,1,1,,,5,
4,7/16/2018,,2,7/16/2018,3,,,,,,3,,,3,
5,7/16/2018,,2,7/16/2018,4,,,,,4,18,,,11,
6,7/16/2018,,2,7/16/2018,,,,,,,,,,,
7,7/16/2018,,2,7/16/2018,,,,,,,,,,,
8,7/16/2018,,2,7/16/2018,,,,,,,,,,,
9,7/16/2018,,2,7/16/2018,,,,,,,,,,,
10,7/16/2018,,2,7/16/2018,,,,,,,,,,,
1,7/9/2018,,2,7/9/2018,,,,,1,3,32,,,2,
2,7/9/2018,,2,7/9/2018,,,,,,2,18,,,,
3,7/9/2018,,2,7/9/2018,1,,,,1,1,8,,,,
4,7/9/2018,,2,7/9/2018,9,1,,,,3,13,,,1,
5,7/9/2018,,2,7/9/2018,,,,,,4,13,,,1,
6,7/9/2018,,2,7/9/2018,1,,,,1,,8,,,2,
7,7/9/2018,,2,7/9/2018,6,,,,,,38,1,,2,
8,7/9/2018,,2,7/9/2018,3,,1,,,2,16,1,,,
9,7/9/2018,,2,7/9/2018,2,,,,,2,5,,,4,
10,7/9/2018,,2,7/9/2018,3,,,,1,1,24,,,2,
1,6/25/2018,,2,6/25/2018,1,,,,,,36,,,18,
2,6/25/2018,,2,6/25/2018,3,1,,,,,50,,,14,
3,6/25/2018,,2,6/25/2018,2,1,,,1,2,37,,,5,
4,6/25/2018,,2,6/25/2018,,,,,1,3,57,1,,7,
5,6/25/2018,,2,6/25/2018,2,2,,,,2,50,,,6,
6,6/25/2018,,2,6/25/2018,1,,,,1,,37,,,2,
7,6/25/2018,,2,6/25/2018,1,,,,1,2,26,,,13,
8,6/25/2018,,2,6/25/2018,1,,,,,3,73,,,27,
9,6/25/2018,,2,6/25/2018,3,,,,,1,59,,,6,
10,6/25/2018,,2,6/25/2018,2,,,,,1,51,,,6,
1,6/18/2018,,2,6/18/2018,,,,,,6,25,,,10,
2,6/18/2018,,2,6/18/2018,4,,,,,5,36,,,11,
3,6/18/2018,,2,6/18/2018,,2,3,,,3,48,,,15,
4,6/18/2018,,2,6/18/2018,3,,,,,3,79,,,20,
5,6/18/2018,,2,6/18/2018,3,1,,,,3,23,1,,20,
6,6/18/2018,,2,6/18/2018,1,,1,,,,30,,,8,
7,6/18/2018,,2,6/18/2018,3,,1,,2,4,41,2,,15,
8,6/18/2018,,2,6/18/2018,3,,,,,5,50,5,,25,
9,6/18/2018,,2,6/18/2018,2,,,,,5,28,,,9,
10,6/18/2018,,2,6/18/2018,2,,1,,,11,34,,,24,
1,6/11/2018,,2,6/11/2018,2,1,,,,1,41,,,9,
2,6/11/2018,,2,6/11/2018,3,2,,,,2,43,1,,14,
3,6/11/2018,,2,6/11/2018,,1,,,,1,35,,,12,
4,6/11/2018,,2,6/11/2018,1,1,,,,1,33,1,,9,
5,6/11/2018,,2,6/11/2018,2,,,,,3,15,,,9,
6,6/11/2018,,2,6/11/2018,2,1,,,1,2,35,,,,
7,6/11/2018,,2,6/11/2018,,,,,,3,43,,,5,
8,6/11/2018,,2,6/11/2018,4,,1,,,3,35,,,2,
9,6/11/2018,,2,6/11/2018,1,,,,,1,23,,,4,
10,6/11/2018,,2,6/11/2018,2,,,,1,,48,,,9,
1,6/4/2018,,2,6/4/2018,2,1,,,3,3,26,,,1,
2,6/4/2018,,2,6/4/2018,1,1,,,5,1,67,,,12,
3,6/4/2018,,2,6/4/2018,1,1,1,,2,4,94,,,4,
4,6/4/2018,,2,6/4/2018,1,3,,,1,4,86,,,2,
5,6/4/2018,,2,6/4/2018,,,,,,,30,1,,2,
6,6/4/2018,,2,6/4/2018,,,,,1,4,38,,,4,
7,6/4/2018,,2,6/4/2018,,,,,3,1,42,1,,2,
8,6/4/2018,,2,6/4/2018,,1,,,3,3,36,,,3,
9,6/4/2018,,2,6/4/2018,,,,,2,1,30,,,4,
10,6/4/2018,,2,6/4/2018,,,,,1,2,25,,,2,
1,5/29/2018,,2,5/29/2018,,3,,,1,,112,,,1,
2,5/29/2018,,2,5/29/2018,,1,1,,2,4,143,,,,
3,5/29/2018,,2,5/29/2018,,,,,1,4,107,1,,,
4,5/29/2018,,2,5/29/2018,1,,,,2,1,83,,,3,
5,5/29/2018,,2,5/29/2018,,4,,,1,2,36,,,6,
6,5/29/2018,,2,5/29/2018,1,,,,1,1,49,,,,
7,5/29/2018,,2,5/29/2018,,2,,,,3,83,1,,4,
8,5/29/2018,,2,5/29/2018,,,,,,7,112,,,6,
9,5/29/2018,,2,5/29/2018,,,,,,7,101,,,,
10,5/29/2018,,2,5/29/2018,,,,,1,2,,4,,4,
1,5/21/2018,,2,5/21/2018,1,,,,,2,79,,,1,
2,5/21/2018,,2,5/21/2018,,,,,,2,124,,,8,
3,5/21/2018,,2,5/21/2018,,,,,,1,69,,,6,
4,5/21/2018,,2,5/21/2018,2,,,,,2,29,,,4,
5,5/21/2018,,2,5/21/2018,,,,,2,,42,,,3,
6,5/21/2018,,2,5/21/2018,,1,,,,1,54,1,,5,
7,5/21/2018,,2,5/21/2018,2,,,,,3,86,,,4,
8,5/21/2018,,2,5/21/2018,,,,,,1,32,,,1,
9,5/21/2018,,2,5/21/2018,,1,,,,2,74,,,1,
10,5/21/2018,,2,5/21/2018,13,,,,,,45,,,7,
1,5/14/2018,,2,5/14/2018,,,,,,3,64,,,10,
2,5/14/2018,,2,5/14/2018,,,,,,4,23,,,,
3,5/14/2018,,2,5/14/2018,,,,,,,39,,,,
4,5/14/2018,,2,5/14/2018,1,,,,,2,48,,,5,
5,5/14/2018,,2,5/14/2018,,,,,,,79,,,11,
6,5/14/2018,,2,5/14/2018,,,,,,,42,,,10,
7,5/14/2018,,2,5/14/2018,,,,,,,43,,,,
8,5/14/2018,,2,5/14/2018,,,,,,2,36,,,6,
9,5/14/2018,,2,5/14/2018,1,,,,,1,16,,,2,
10,5/14/2018,,2,5/14/2018,1,,,,,2,15,,,3,
